IK_INTERN,BEZ_KASSE,IK_AUFN_KASSE,VK_NUMMER,GBO
100589454,HZK-Krankenkasse Bau/SVA,100589682,79614,2
100589465,KEH Ersatzkasse / Os/SVA,102192471,99617,2
100589487,GEK/SVA,100580002,79611,2
100589682,GEK/SVA,100580002,79611,2
100989298,BRAUNSCHWEIGER KASSE/SVA,,88613,2
100989301,Buchdrucker Ost/SVA,100189688,99616,2
100989403,GAERTNER-KRANKENKASS/SVA,100977502,88612,2
100989458,HZK-Krankenkasse Bau/SVA,100989686,88614,2
100989469,KEH Ersatzkasse / Os/SVA,102192471,99617,2
100989481,GEK/SVA,100980006,88611,2
100989686,GEK/SVA,100980006,88611,2
101389294,BRAUNSCHWEIGER KASSE/SVA,,01613,2
101389307,BUCHDRUCKER-KRANKENK/SVA,101789686,17616,2
101389409,GAERTNER-KRANKENKASS/SVA,101377508,01612,2
101389454,HZK-Krankenkasse Bau/SVA,101389682,01614,2
101389465,KEH Ersatzkasse/SVA,101520078,40617,2
101389487,GEK/SVA,101380002,01611,2
101389682,GEK/SVA,101380002,01611,2
101578000,BRAUNSCHWEIGER KASSE/SVA,,40613,2
101578603,GAERTNER-KRANKENKASS/SVA,105177505,40612,2
101579001,HZK-Krankenkasse Bau/SVA,105189689,40614,2
101579216,GEK/SVA,105180009,40611,2
101589296,BRAUNSCHWEIGER KASSE/SVA,,02613,2
101589309,BUCHDRUCKER-KRANKENK/SVA,101789686,17616,2
101589401,GAERTNER-KRANKENKASS/SVA,101575519,02612,2
101589456,HZK-Krankenkasse Bau/SVA,101589684,02614,2
101589467,KEH Ersatzkasse/SVA,101520078,40617,2
101589489,GEK/SVA,101580004,02611,2
101589684,GEK/SVA,101580004,02611,2
101789298,BRAUNSCHWEIGER KASSE/SVA,,17613,2
101789301,BUCHDRUCKER-KRANKENK/SVA,101789686,17616,2
101789403,GAERTNER-KRANKENKASS/SVA,101777502,17612,2
101789458,HZK-Krankenkasse Bau/SVA,101789686,17614,2
101789469,KEH Ersatzkasse/SVA,101520078,40617,2
101789481,GEK/SVA,101780006,17611,2
101789686,GEK/SVA,101780006,17611,2
102178509,Buchdrucker-Krankenkasse,101789301,74616,2
103089295,BRAUNSCHWEIGER KASSE/SVA,,03613,2
103089308,BUCHDRUCKER-KRANKENK/SVA,101789686,17616,2
103089400,GAERTNER-KRANKENKASS/SVA,103077509,03612,2
103089455,HZK-Krankenkasse Bau/SVA,103089683,03614,2
103089466,KEH Ersatzkasse/SVA,101520078,40617,2
103089488,GEK/SVA,103080003,03611,2
103089683,GEK/SVA,103080003,03611,2
103489299,BRAUNSCHWEIGER KASSE/SVA,,19613,2
103489302,BUCHDRUCKER-KRANKENK/SVA,101789686,17616,2
103489404,GAERTNER-KRANKENKASS/SVA,103477503,19612,2
103489459,HZK-Krankenkasse Bau/SVA,103489687,19614,2
103489460,KEH Ersatzkasse/SVA,101520078,40617,2
103489482,GEK/SVA,103480007,19611,2
103489687,GEK/SVA,103480007,19611,2
104089297,BRAUNSCHWEIGER KASSE/SVA,,21613,2
104089300,BUCHDRUCKER-KRANKENK/SVA,101789686,17616,2
104089402,GAERTNER-KRANKENKASS/SVA,104077501,21612,2
104089457,HZK-Krankenkasse Bau/SVA,104089685,28614,2
104089468,KEH Ersatzkasse/SVA,101520078,40617,2
104089480,GEK/SVA,104080005,27611,2
104089685,GEK/SVA,104080005,27611,2
104978011,AEK Br?hler Krank./SVA,104089685,37618,2
105089290,BRAUNSCHWEIGER KASSE/SVA,,89613,2
105089303,Buchdrucker Ost/SVA,100189688,99616,2
105089405,GAERTNER-KRANKENKASS/SVA,105077504,89612,2
105089450,HZK-Krankenkasse f?r/SVA,105089688,89614,2
105089461,KEH Ersatzkasse / Os/SVA,102192471,99617,2
105089483,GEK/SVA,105080008,89611,2
105089688,GEK/SVA,105080008,89611,2
105189291,BRAUNSCHWEIGER KASSE/SVA,,40613,2
105189304,BUCHDRUCKER-KRANKENK/SVA,101789686,17616,2
105189406,GAERTNER-KRANKENKASS/SVA,105177505,40612,2
105189451,HZK-Krankenkasse Bau/SVA,105189689,40614,2
105189462,KEH Ersatzkasse/SVA,101520078,40617,2
105189689,GEK/SVA,105180009,40611,2
105379202,Krankenkasse Eintracht,105189462,74617,2
106289294,BRAUNSCHWEIGER KASSE/SVA,,48613,2
106289307,BUCHDRUCKER-KRANKENK/SVA,101789686,17616,2
106289409,GAERTNER-KRANKENKASS/SVA,106277508,48612,2
106289454,HZK Rheinland-Pfalz/SVA,106289682,48614,2
106289465,KEH Ersatzkasse/SVA,101520078,40617,2
106289487,GEK Rheinland-Pfalz/SVA,106280002,48611,2
106289682,GEK Rheinland-Pfalz/SVA,106280002,48611,2
106389295,BRAUNSCHWEIGER KASSE/SVA,,47613,2
106389308,BUCHDRUCKER-KRANKENK/SVA,101789686,17616,2
106389400,GAERTNER-KRANKENKASS/SVA,106377509,47612,2
106289454,HZK Rheinland-Pfalz,106289682,48614,2
106289465,KEH Ersatzkasse,101520078,40617,2
106289487,GEK Rheinland-Pfalz,106280002,48611,2
106289682,GEK Rheinland-Pfalz,106280002,48611,2
106389295,BRAUNSCHWEIGER KASSE,,47613,2
106389308,BUCHDRUCKER-KRANKENKASSE,101789686,17616,2
106389400,GAERTNER-KRANKENKASSE,106377509,47612,2
106389455,HZK-Krankenkasse Bau u.,106289454,47614,2
106389466,KEH Ersatzkasse,101520078,40617,2
106389488,GEK,106289682,47611,2
106389683,GEK,106289682,47611,2
106489296,BRAUNSCHWEIGER KASSE,,49613,2
106489309,BUCHDRUCKER-KRANKENKASSE,101789686,17616,2
106489401,GAERTNER-KRANKENKASSE,106477500,49612,2
106489456,HZK-Krankenkasse Bau u.,106289454,49614,2
106489467,KEH Ersatzkasse,101520078,40617,2
106489489,GEK,106289682,49611,2
106489684,GEK,106289682,49611,2
106589297,BRAUNSCHWEIGER KASSE,,50613,2
106589300,BUCHDRUCKER-KRANKENKASSE,101789686,17616,2
106589402,GAERTNER-KRANKENKASSE,106577501,50612,2
106589457,HZK-Krankenkasse Bau u.,106289454,50614,2
106589468,KEH Ersatzkasse,101520078,40617,2
106589480,GEK,106289682,50611,2
106589685,GEK,106289682,50611,2
106789299,BRAUNSCHWEIGER KASSE,,55613,2
106789302,BUCHDRUCKER-KRANKENKASSE,101789686,17616,2
106789404,GAERTNER-KRANKENKASSE,106777503,55612,2
106789459,HZK-KK f. Bau u. Holzber,106789687,55614,2
106789460,KEH Ersatzkasse,101520078,40617,2
106789482,Gm?nder ErsatzKasse,106780007,55611,2
106789687,Gm?nder ErsatzKasse,106780007,55611,2
107289296,BRAUNSCHWEIGER KASSE,,96613,2
107289309,Buchdrucker Ost,100189688,99616,2
107289401,GAERTNER-KRANKENKASSE,107277500,95612,2
107289456,HZK-Krankenkasse Bau u.,107289684,94614,2
107289467,KEH Ersatzkasse / Ost,102192471,99617,2
107289489,GEK,107280004,96611,2
107289684,GEK,107280004,96611,2
107389297,BRAUNSCHWEIGER KASSE,,60613,2
107389300,BUCHDRUCKER-KRANKENKASSE,101789686,17616,2
107389402,GAERTNER-KRANKENKASSE,107377501,60612,2
107389457,HZK-Krankenkasse Bau u.,106789459,60614,2
107389468,KEH Ersatzkasse,101520078,40617,2
107389480,GEK,106789687,60611,2
107389685,GEK,106789687,60611,2
107889292,BRAUNSCHWEIGER KASSE,,62613,2
107889305,BUCHDRUCKER-KRANKENKASSE,101789686,17616,2
107889407,GAERTNER-KRANKENKASSE,107877506,62612,2
107889452,HZK-Krankenkasse Bau u.,106789459,62614,2
107889463,KEH Ersatzkasse,101520078,40617,2
107889485,GEK,106789687,62611,2
107889680,GEK,106789687,62611,2
108079808,GEK,105180009,40611,2
108089296,BRAUNSCHWEIGER KASSE,,61613,2
108089309,BUCHDRUCKER-KRANKENKASSE,101789686,17616,2
108089401,GAERTNER-KRANKENKASSE,108077500,61612,2
108089456,HZK-Krankenkasse Bau u.,106789459,61614,2
108089467,KEH Ersatzkasse,101520078,40617,2
108089489,GEK,106789687,61611,2
108089684,GEK,106789687,61611,2
108389299,BRAUNSCHWEIGER KASSE,,71613,2
107389297,BRAUNSCHWEIGER KASSE/BVG,,60613,2
107389300,BUCHDRUCKER-KRANKENK/BVG,101789686,17616,2
107389402,GAERTNER-KRANKENKASS/BVG,107377501,60612,2
107389457,HZK-Krankenkasse Bau/BVG,106789459,60614,2
107389468,KEH Ersatzkasse/BVG,101520078,40617,2
107389480,GEK/BVG,106789687,60611,2
107389685,GEK/BVG,106789687,60611,2
107889292,BRAUNSCHWEIGER KASSE/BVG,,62613,2
107889305,BUCHDRUCKER-KRANKENK/BVG,101789686,17616,2
107889407,GAERTNER-KRANKENKASS/BVG,107877506,62612,2
107889452,HZK-Krankenkasse Bau/BVG,106789459,62614,2
107889463,KEH Ersatzkasse/BVG,101520078,40617,2
107889485,GEK/BVG,106789687,62611,2
107889680,GEK/BVG,106789687,62611,2
108079808,GEK/BVG,105180009,40611,2
108089296,BRAUNSCHWEIGER KASSE/BVG,,61613,2
108089309,BUCHDRUCKER-KRANKENK/BVG,101789686,17616,2
108089401,GAERTNER-KRANKENKASS/BVG,108077500,61612,2
108089456,HZK-Krankenkasse Bau/BVG,106789459,61614,2
108089467,KEH Ersatzkasse/BVG,101520078,40617,2
108089489,GEK/BVG,106789687,61611,2
108089684,GEK/BVG,106789687,61611,2
108389299,BRAUNSCHWEIGER KASSE/BVG,,71613,2
108389302,BUCHDRUCKER-KRANKENK/BVG,101789686,17616,2
108389404,GAERTNER-KRANKENKASS/BVG,108377503,71612,2
108389459,HZK-Krankenkasse Bau/BVG,108389687,71614,2
108389460,KEH Ersatzkasse/BVG,101520078,40617,2
108389482,GEK/BVG,108380007,71611,2
108389687,GEK/BVG,108380007,71611,2
109389291,BRAUNSCHWEIGER KASSE/BVG,,73613,2
109389304,BUCHDRUCKER-KRANKENK/BVG,101789686,17616,2
109389406,GAERTNER-KRANKENKASS/BVG,109377505,73612,2
109389451,HZK-Krankenkasse Bau/BVG,109389689,73614,2
109389462,KEH Ersatzkasse/BVG,101520078,40617,2
109389484,GEK/BVG,109380009,73611,2
109389689,GEK/BVG,109380009,73611,2
109589293,BRAUNSCHWEIGER KASSE/BVG,,72613,2
109589306,BUCHDRUCKER-KRANKENK/BVG,101789686,17616,2
109589408,GAERTNER-KRANKENKASS/BVG,109577507,72612,2
109589453,HZK-Krankenkasse Bau/BVG,109589681,72614,2
109589464,KEH Ersatzkasse/BVG,101520078,40617,2
109589486,GEK/BVG,104940005,72611,2
109589681,GEK/BVG,104940005,72611,2
109789295,BRAUNSCHWEIGER KASSE/BVG,,72613,2
109789308,BUCHDRUCKER-KRANKENK/BVG,101789686,17616,2
109789400,GAERTNER-KRANKENKASS/BVG,109577507,72612,2
109789455,HZK-Krankenkasse Bau/BVG,109589681,72614,2
109789466,KEH Ersatzkasse/BVG,101520078,40617,2
109789488,GEK/BVG,104940005,72611,2
109789683,GEK/BVG,104940005,72611,2
100189303,Buchdrucker Ost/BEG,,99616,2
100189461,KEH Ersatzkasse / Os/BEG,102192471,99617,2
100589294,BRAUNSCHWEIGER KASSE/BEG,,79613,2
100589307,Buchdrucker Ost/BEG,,99616,2
100589409,GAERTNER-KRANKENKASS/BEG,100577508,79612,2
100589454,HZK-Krankenkasse Bau/BEG,100589682,79614,2
100589465,KEH Ersatzkasse / Os/BEG,102192471,99617,2
100589487,GEK/BEG,100580002,79611,2
100589682,GEK/BEG,100580002,79611,2
100989298,BRAUNSCHWEIGER KASSE/BEG,,88613,2
108389482,GEK/SVA,108380007,71611,2
108389687,GEK/SVA,108380007,71611,2
109389291,BRAUNSCHWEIGER KASSE/SVA,,73613,2
109389304,BUCHDRUCKER-KRANKENK/SVA,101789686,17616,2
109389406,GAERTNER-KRANKENKASS/SVA,109377505,73612,2
109389451,HZK-Krankenkasse Bau/SVA,109389689,73614,2
109389462,KEH Ersatzkasse/SVA,101520078,40617,2
109389484,GEK/SVA,109380009,73611,2
109389689,GEK/SVA,109380009,73611,2
109589293,BRAUNSCHWEIGER KASSE/SVA,,72613,2
109589306,BUCHDRUCKER-KRANKENK/SVA,101789686,17616,2
109589408,GAERTNER-KRANKENKASS/SVA,109577507,72612,2
109589453,HZK-Krankenkasse Bau/SVA,109589681,72614,2
109589464,KEH Ersatzkasse/SVA,101520078,40617,2
109589486,GEK/SVA,104940005,72611,2
109589681,GEK/SVA,104940005,72611,2
109789295,BRAUNSCHWEIGER KASSE/SVA,,72613,2
109789308,BUCHDRUCKER-KRANKENK/SVA,101789686,17616,2
109789400,GAERTNER-KRANKENKASS/SVA,109577507,72612,2
109789455,HZK-Krankenkasse Bau/SVA,109589681,72614,2
109789466,KEH Ersatzkasse/SVA,101520078,40617,2
109789488,GEK/SVA,104940005,72611,2
109789683,GEK/SVA,104940005,72611,2
100189290,BRAUNSCHWEIGER KASSE/BVG,,78613,2
100189303,Buchdrucker Ost/BVG,100189688,99616,2
100189405,GAERTNER-KRANKENKASS/BVG,100177504,78612,2
100189450,HZK-Krankenkasse Bau/BVG,100189688,78614,2
100189461,KEH Ersatzkasse / Os/BVG,102192471,99617,2
100189483,GEK/BVG,100180008,78611,2
100189688,GEK/BVG,100180008,78611,2
100589294,BRAUNSCHWEIGER KASSE/BVG,,79613,2
100589307,Buchdrucker Ost/BVG,100189688,99616,2
100589409,GAERTNER-KRANKENKASS/BVG,100577508,79612,2
100589454,HZK-Krankenkasse Bau/BVG,100589682,79614,2
100589465,KEH Ersatzkasse / Os/BVG,102192471,99617,2
100589487,GEK/BVG,100580002,79611,2
100589682,GEK/BVG,100580002,79611,2
100989298,BRAUNSCHWEIGER KASSE/BVG,,88613,2
100989301,Buchdrucker Ost/BVG,100189688,99616,2
100989403,GAERTNER-KRANKENKASS/BVG,100977502,88612,2
100989458,HZK-Krankenkasse Bau/BVG,100989686,88614,2
100989469,KEH Ersatzkasse / Os/BVG,102192471,99617,2
100989481,GEK/BVG,100980006,88611,2
100989686,GEK/BVG,100980006,88611,2
101389294,BRAUNSCHWEIGER KASSE/BVG,,01613,2
101389307,BUCHDRUCKER-KRANKENK/BVG,101789686,17616,2
101389409,GAERTNER-KRANKENKASS/BVG,101377508,01612,2
101389454,HZK-Krankenkasse Bau/BVG,101389682,01614,2
101389465,KEH Ersatzkasse/BVG,101520078,40617,2
101389487,GEK/BVG,101380002,01611,2
101389682,GEK/BVG,101380002,01611,2
101578000,BRAUNSCHWEIGER KASSE/BVG,,40613,2
101578603,GAERTNER-KRANKENKASS/BVG,105177505,40612,2
101579001,HZK-Krankenkasse Bau/BVG,105189689,40614,2
101579216,GEK/BVG,105180009,40611,2
101589296,BRAUNSCHWEIGER KASSE/BVG,,02613,2
101589309,BUCHDRUCKER-KRANKENK/BVG,101789686,17616,2
101589401,GAERTNER-KRANKENKASS/BVG,101575519,02612,2
101589456,HZK-Krankenkasse Bau/BVG,101589684,02614,2
101589467,KEH Ersatzkasse/BVG,101520078,40617,2
101589489,GEK/BVG,101580004,02611,2
101589684,GEK/BVG,101580004,02611,2
101789298,BRAUNSCHWEIGER KASSE/BVG,,17613,2
101789301,BUCHDRUCKER-KRANKENK/BVG,101789686,17616,2
101789403,GAERTNER-KRANKENKASS/BVG,101777502,17612,2
